"nome","ano","turno","votos","porcentagem","candidato"
"1989 - Fernando Collor",1989,"Turno 1",20607936,30.48,"Fernando Collor"
"1989 - Fernando Collor",1989,"Turno 2",35085457,53.03,"Fernando Collor"
"1989 - Luiz Inácio Lula da Silva",1989,"Turno 1",11619816,17.19,"Luiz Inácio Lula da Silva"
"1989 - Luiz Inácio Lula da Silva",1989,"Turno 2",31070734,46.97,"Luiz Inácio Lula da Silva"
"2002 - José Serra",2002,"Turno 1",19566470,23.08,"José Serra"
"2002 - José Serra",2002,"Turno 2",33356109,38.73,"José Serra"
"2002 - Luiz Inácio Lula da Silva",2002,"Turno 1",39436059,46.51,"Luiz Inácio Lula da Silva"
"2002 - Luiz Inácio Lula da Silva",2002,"Turno 2",52771747,61.27,"Luiz Inácio Lula da Silva"
"2006 - Geraldo Alckmin",2006,"Turno 1",39950856,41.62,"Geraldo Alckmin"
"2006 - Geraldo Alckmin",2006,"Turno 2",37522266,39.17,"Geraldo Alckmin"
"2006 - Luiz Inácio Lula da Silva",2006,"Turno 1",46646814,48.6,"Luiz Inácio Lula da Silva"
"2006 - Luiz Inácio Lula da Silva",2006,"Turno 2",58277094,60.83,"Luiz Inácio Lula da Silva"
"2010 - Dilma Rousseff ",2010,"Turno 1",47595067,46.92,"Dilma Rousseff "
"2010 - Dilma Rousseff ",2010,"Turno 2",55691399,56.07,"Dilma Rousseff "
"2010 - José Serra",2010,"Turno 1",33078177,32.61,"José Serra"
"2010 - José Serra",2010,"Turno 2",43638458,43.93,"José Serra"
"2014 - Aécio Neves ",2014,"Turno 1",34792002,33.52,"Aécio Neves "
"2014 - Aécio Neves ",2014,"Turno 2",50889412,48.31,"Aécio Neves "
"2014 - Dilma Rousseff ",2014,"Turno 1",43229447,41.65,"Dilma Rousseff "
"2014 - Dilma Rousseff ",2014,"Turno 2",54451986,51.69,"Dilma Rousseff "
